[Eddy's CIA honeypot] | [based-department] | [Eddy#5180] @ 2020-09-17 11:14:34.012000: +ban <@!298941073936613376> fart
[None] | [Direct Message with Eddy#4792] | [OpenBot#7734] @ 2020-09-17 11:14:34.591000: 
[Eddy's CIA honeypot] | [based-department] | [OpenBot#7734] @ 2020-09-17 11:14:35.200000: 
[Eddy's CIA honeypot] | [autism-nourishment-grounds] | [OpenBot#7734] @ 2020-09-17 11:14:35.685000: Eddy#5180 just banned Eddy#4792 for fart
[Eddy's CIA honeypot] | [autism-nourishment-grounds] | [Eddy#4792] @ 2020-09-17 11:15:14.404000: 
[None] | [Direct Message with Eddy#4792] | [OpenBot#7734] @ 2020-09-17 11:15:14.728000: 
[Eddy's CIA honeypot] | [autism-nourishment-grounds] | [Eddy#5180] @ 2020-09-17 11:15:33.764000: +warn <@298941073936613376> homosex
[None] | [Direct Message with Eddy#4792] | [OpenBot#7734] @ 2020-09-17 11:15:34.182000: 
[Eddy's CIA honeypot] | [autism-nourishment-grounds] | [OpenBot#7734] @ 2020-09-17 11:15:34.337000: 
[Eddy's CIA honeypot] | [autism-nourishment-grounds] | [OpenBot#7734] @ 2020-09-17 11:15:34.640000: Eddy#5180 just warned                                    Eddy#4792 for homosex
[Eddy's CIA honeypot] | [autism-nourishment-grounds] | [Eddy#5180] @ 2020-09-17 11:15:45.832000: +warn <@502551398861504542> homosex
[None] | [Direct Message with Eddy#5180] | [OpenBot#7734] @ 2020-09-17 11:15:46.180000: 
[Eddy's CIA honeypot] | [autism-nourishment-grounds] | [OpenBot#7734] @ 2020-09-17 11:15:46.484000: 
[Eddy's CIA honeypot] | [autism-nourishment-grounds] | [OpenBot#7734] @ 2020-09-17 11:15:46.628000: Eddy#5180 just warned                                    Eddy#5180 for homosex
[Eddy's CIA honeypot] | [bot-thing] | [Eddy#5180] @ 2020-09-17 12:19:36.323000: +warn <@502551398861504542> farting
[None] | [Direct Message with Eddy#5180] | [OpenBot#7734] @ 2020-09-17 12:19:36.942000: 
[Eddy's CIA honeypot] | [bot-thing] | [OpenBot#7734] @ 2020-09-17 12:19:37.190000: 
[Eddy's CIA honeypot] | [autism-nourishment-grounds] | [OpenBot#7734] @ 2020-09-17 12:19:37.364000: Eddy#5180 just warned Eddy#5180 for farting
[Eddy's CIA honeypot] | [invasion-of-normandy-planning] | [Eddy#5180] @ 2020-09-17 20:05:16.706000: +help
[None] | [Direct Message with Eddy#5180] | [OpenBot#7734] @ 2020-09-17 20:05:17.202000: 
[None] | [Direct Message with Eddy#5180] | [Eddy#5180] @ 2020-09-17 20:05:25.671000: +help_admin
[None] | [Direct Message with Eddy#5180] | [OpenBot#7734] @ 2020-09-17 20:05:25.950000: 
[Eddy's CIA honeypot] | [invasion-of-normandy-planning] | [Eddy#5180] @ 2020-09-17 20:05:54.911000: +slap <@436697616344940574> retard'
[Eddy's CIA honeypot] | [invasion-of-normandy-planning] | [OpenBot#7734] @ 2020-09-17 20:05:55.928000: 
[Eddy's CIA honeypot] | [autism-nourishment-grounds] | [Eddy#5180] @ 2020-09-18 23:02:44.421000: +purge 100
[None] | [Direct Message with Eddy#5180] | [OpenBot#7734] @ 2020-09-18 23:02:45.396000: purged 100 messages.
[Eddy's CIA honeypot] | [autism-nourishment-grounds] | [OpenBot#7734] @ 2020-09-18 23:02:45.646000: Eddy#5180 just purged 100 messages!
[Eddy's CIA honeypot] | [autism-nourishment-grounds] | [CallMeRed#9426] @ 2020-09-18 23:03:09.053000: why
[Eddy's CIA honeypot] | [autism-nourishment-grounds] | [Eddy#5180] @ 2020-09-18 23:09:28.194000: +slap <@136637138199511040> no homosex
[Eddy's CIA honeypot] | [autism-nourishment-grounds] | [OpenBot#7734] @ 2020-09-18 23:09:29.042000: 
[Eddy's CIA honeypot] | [autism-nourishment-grounds] | [kildrio#7944] @ 2020-09-18 23:09:29.365000: fart fart
[Eddy's CIA honeypot] | [autism-nourishment-grounds] | [kildrio#7944] @ 2020-09-18 23:09:30.166000: fart
[Eddy's CIA honeypot] | [autism-nourishment-grounds] | [kildrio#7944] @ 2020-09-18 23:09:30.839000: fart
[Eddy's CIA honeypot] | [autism-nourishment-grounds] | [kildrio#7944] @ 2020-09-18 23:09:31.632000: fart
[Eddy's CIA honeypot] | [autism-nourishment-grounds] | [kildrio#7944] @ 2020-09-18 23:09:32.487000: fart
[Eddy's CIA honeypot] | [autism-nourishment-grounds] | [kildrio#7944] @ 2020-09-18 23:09:33.220000: fart
[Eddy's CIA honeypot] | [autism-nourishment-grounds] | [kildrio#7944] @ 2020-09-18 23:09:33.976000: fart
[Eddy's CIA honeypot] | [autism-nourishment-grounds] | [kildrio#7944] @ 2020-09-18 23:09:34.885000: fart
[Eddy's CIA honeypot] | [autism-nourishment-grounds] | [kildrio#7944] @ 2020-09-18 23:09:35.729000: fart
[Eddy's CIA honeypot] | [autism-nourishment-grounds] | [Eddy#5180] @ 2020-09-18 23:09:45.130000: 
[Eddy's CIA honeypot] | [autism-nourishment-grounds] | [CallMeRed#9426] @ 2020-09-18 23:09:45.580000: @everyone fart
[Eddy's CIA honeypot] | [autism-nourishment-grounds] | [Rylin#4133] @ 2020-09-18 23:10:18.151000: add a music boty
[Eddy's CIA honeypot] | [autism-nourishment-grounds] | [Rylin#4133] @ 2020-09-18 23:10:33.507000: <@!502551398861504542> fix music bot
[Eddy's CIA honeypot] | [autism-nourishment-grounds] | [Eddy#5180] @ 2020-09-18 23:10:34.168000: yes
[Eddy's CIA honeypot] | [autism-nourishment-grounds] | [Eddy#5180] @ 2020-09-18 23:10:35.848000: wahat
[Eddy's CIA honeypot] | [autism-nourishment-grounds] | [Eddy#5180] @ 2020-09-18 23:10:36.477000: how
[Eddy's CIA honeypot] | [autism-nourishment-grounds] | [Eddy#5180] @ 2020-09-18 23:10:39.766000: how do i fix
[Eddy's CIA honeypot] | [autism-nourishment-grounds] | [Eddy#5180] @ 2020-09-18 23:10:43.195000: what is the error
[Eddy's CIA honeypot] | [autism-nourishment-grounds] | [Rylin#4133] @ 2020-09-18 23:10:49.715000: how do i use it
[Eddy's CIA honeypot] | [autism-nourishment-grounds] | [Eddy#5180] @ 2020-09-18 23:10:55.714000: its rythm
[Eddy's CIA honeypot] | [autism-nourishment-grounds] | [Eddy#5180] @ 2020-09-18 23:10:56.626000: retard
[Eddy's CIA honeypot] | [autism-nourishment-grounds] | [Eddy#5180] @ 2020-09-18 23:10:58.303000: wdym
[Eddy's CIA honeypot] | [autism-nourishment-grounds] | [kildrio#7944] @ 2020-09-18 23:11:06.032000: !p death note nascar aloe
[Eddy's CIA honeypot] | [autism-nourishment-grounds] | [Eddy#5180] @ 2020-09-18 23:34:34.902000: +mute <@!502551398861504542> 1m retrard
[Eddy's CIA honeypot] | [autism-nourishment-grounds] | [Eddy#5180] @ 2020-09-18 23:35:35.006000: +mute <@!502551398861504542> 1m bruhq
[Eddy's CIA honeypot] | [autism-nourishment-grounds] | [Eddy#5180] @ 2020-09-18 23:37:14.316000: +mute <@!502551398861504542> 1m farrtiq
[Eddy's CIA honeypot] | [autism-nourishment-grounds] | [Eddy#5180] @ 2020-09-18 23:38:07.439000: +mute @the server 1m farrtiq
[Eddy's CIA honeypot] | [autism-nourishment-grounds] | [Eddy#5180] @ 2020-09-18 23:38:37.597000: +mute <@&756658449844273182>  <@!502551398861504542> 1m fartthing
